station_id,name,capacity,num_bikes_available,num_docks_available,lat,lon,is_renting,is_returning
7156,Salem Ave / Bloor St W,15,2,12,43.6608333,-79.43166667,TRUE,TRUE
7157,Dufferin St / Bloor St W,22,7,14,43.66083333,-79.43583333,TRUE,TRUE
7158,King St W / Stafford St,15,0,14,43.6422222,-79.41111111,TRUE,TRUE
7160,King St W / Tecumseth St,19,14,3,43.64333333,-79.40555556,TRUE,TRUE
7161,Beverley St / College St,23,9,13,43.6575,-79.39527778,TRUE,TRUE
7162,Hayter St / La Plante Ave,23,19,2,43.65916667,-79.38555556,TRUE,TRUE
7163,Yonge St / Wood St,14,2,11,43.6622222,-79.3825,TRUE,TRUE
7164,Gould St / Yonge St (TMU),23,11,10,43.657424,-79.381019,TRUE,TRUE
7168,Queens Quay / Yonge St,31,12,18,43.641646,-79.375308,TRUE,TRUE
7169,Front St W / Bay St (North Side),11,8,0,43.646162,-79.378912,TRUE,TRUE
7170,Spadina Ave / Willcocks St,15,3,11,43.6616667,-79.40138889,TRUE,TRUE
7171,Ontario Place Blvd / Lake Shore Blvd W,27,16,11,43.6322445,-79.4108105,TRUE,TRUE
7172,Strachan Ave / Princes' Blvd,19,5,14,43.635,-79.40888889,TRUE,TRUE
7173,Cariboo Ave / Railpath Trail,19,1,18,43.66666667,-79.45833333,TRUE,TRUE
7174,Bloor St W / Dundas St W,15,8,6,43.6563889,-79.45166667,TRUE,TRUE
7175,HTO Park (Queens Quay W),27,5,21,43.63796,-79.387502,TRUE,TRUE
7176,Bathurst St / Fort York Blvd,19,1,17,43.639179,-79.399595,TRUE,TRUE
7178,Dundas St W / Edna Ave,15,1,13,43.657192,-79.452559,TRUE,TRUE
7180,Lansdowne Subway Station,23,4,19,43.65922918,-79.44320901,TRUE,TRUE
7181,Lansdowne Ave / Whytock Ave,15,7,7,43.65388889,-79.44138889,TRUE,TRUE
7182,Sterling Rd / Dundas St W,19,0,18,43.65083333,-79.44305556,TRUE,TRUE
7183,St Clarens Ave / College St,14,4,10,43.651238,-79.43868,TRUE,TRUE
7184,Ossington Ave / College St,11,0,11,43.6544915,-79.422634,TRUE,TRUE
7188,Exhibition GO (Atlantic Ave),15,14,1,43.63769549,-79.42023184,TRUE,TRUE
7189,Augusta Ave / Denison Sq,15,9,5,43.653766,-79.4016759,TRUE,TRUE
7190,St. George St / Hoskin Ave,15,6,7,43.6637403,-79.3980645,TRUE,TRUE
7191,Central Tech  (Harbord St),10,1,5,43.661975,-79.407896,TRUE,TRUE
7192,Harbord St / Clinton St,15,2,12,43.660414,-79.415646,TRUE,TRUE
7193,Dufferin St / Queen St W,15,10,4,43.64309688,-79.42875614,TRUE,TRUE
7194,Mortimer Ave / Coxwell Ave,23,11,12,43.690564,-79.326319,TRUE,TRUE
7195,Ulster St / Bathurst St,11,1,10,43.66,-79.40888889,TRUE,TRUE
7196,Roxton Rd / Harbord St,11,0,11,43.65905,-79.422988,TRUE,TRUE
7197,Queen St W / Dovercourt Rd,11,6,5,43.6438602,-79.4227573,TRUE,TRUE
7198,Queen St W / Cowan Ave,18,11,7,43.64089724,-79.43283583,TRUE,TRUE
7199,College St / Markham St,19,1,17,43.65638889,-79.40916667,TRUE,TRUE
7202,Queen St W / Bay St (City Hall),23,19,1,43.6517925,-79.3826951,TRUE,TRUE
7203,Bathurst St/Queens Quay(Billy Bishop Airport),35,12,22,43.635492,-79.398253,TRUE,TRUE
7204,College St / Crawford St,19,1,18,43.655,-79.418889,TRUE,TRUE
7205,Rusholme Park Cres / College St,15,5,10,43.65277778,-79.42972222,TRUE,TRUE
7206,Claremont St / Dundas St W,13,0,12,43.651281,-79.411717,TRUE,TRUE
7207,Dundas St W / Crawford St,38,25,13,43.649722,-79.416944,TRUE,TRUE
7208,80 Clinton St,15,12,2,43.656296,-79.414663,TRUE,TRUE
7209,Ossington Ave / Harrison St,19,5,14,43.65111111,-79.42138889,TRUE,TRUE
7210,Mary McCormick Rec Centre (Sheridan Ave),15,11,4,43.6475,-79.43305556,TRUE,TRUE
7211,Fort York Blvd / Garrison Rd,15,1,12,43.637381,-79.406112,TRUE,TRUE
7216,Wellington St W / Stafford St,23,1,22,43.6409957,-79.4096663,TRUE,TRUE
7217,Soho St / Queen St W,15,6,7,43.64964971,-79.39372141,TRUE,TRUE
7220,Lake Shore Blvd W / Ellis Ave,19,18,0,43.635932,-79.465083,TRUE,TRUE
7221,High Park Subway Station,11,0,9,43.6543604,-79.4655296,TRUE,TRUE
7222,Sunnyside - Gus Ryder Pool,27,22,5,43.637894,-79.454823,TRUE,TRUE
7223,Parkside Dr / Bloor St W - SMART,12,4,8,43.654501,-79.460053,TRUE,TRUE
7224,Bloor St W / High Park Ave (High Park),23,10,12,43.6535269,-79.4650569,TRUE,TRUE
7225,Lake Shore Blvd W / Windermere Ave,19,14,2,43.634896,-79.467763,TRUE,TRUE
7226,Lake Shore Blvd W / The Boulevard Club,19,17,2,43.636731,-79.444966,TRUE,TRUE
7227,Martin Goodman Trail (Marilyn Bell Park),31,29,2,43.6314,-79.4304,TRUE,TRUE
7228,King St W / Wilson Park Blvd,19,17,2,43.6372958,-79.4423237,TRUE,TRUE
7229,Dundas St W / Roncesvalles Ave Green P -SMART,12,4,8,43.6534268,-79.4512787,TRUE,TRUE
